1965-01-01 00:00:00,boy,Aaron,369,CA,369,0
1965-01-01 00:00:00,girl,Amy,494,CA,0,494
1965-01-01 00:00:00,girl,Andrea,607,CA,0,607
1965-01-01 00:00:00,boy,Andrew,933,CA,933,0
1965-01-01 00:00:00,girl,Angela,1066,CA,0,1066
1965-01-01 00:00:00,girl,Anna,564,CA,0,564
1965-01-01 00:00:00,boy,Anthony,1928,CA,1928,0
1965-01-01 00:00:00,girl,Barbara,922,CA,0,922
1965-01-01 00:00:00,boy,Bradley,395,CA,395,0
1965-01-01 00:00:00,girl,Brenda,961,CA,0,961
1965-01-01 00:00:00,boy,Brian,2233,CA,2233,0
1965-01-01 00:00:00,boy,Bryan,542,CA,542,0
1965-01-01 00:00:00,boy,Carlos,401,CA,401,0
1965-01-01 00:00:00,girl,Carol,816,CA,0,816
1965-01-01 00:00:00,girl,Carrie,367,CA,0,367
1965-01-01 00:00:00,girl,Catherine,706,CA,0,706
1965-01-01 00:00:00,boy,Charles,1609,CA,1609,0
1965-01-01 00:00:00,girl,Cheryl,1052,CA,0,1052
1965-01-01 00:00:00,girl,Christina,848,CA,0,848
1965-01-01 00:00:00,girl,Christine,1450,CA,0,1450
1965-01-01 00:00:00,boy,Christopher,2322,CA,2322,0
1965-01-01 00:00:00,girl,Cindy,842,CA,0,842
1965-01-01 00:00:00,boy,Craig,874,CA,874,0
1965-01-01 00:00:00,girl,Cynthia,1947,CA,0,1947
1965-01-01 00:00:00,girl,Dana,546,CA,0,546
1965-01-01 00:00:00,boy,Daniel,2641,CA,2641,0
1965-01-01 00:00:00,boy,David,6820,CA,6820,0
1965-01-01 00:00:00,girl,Dawn,962,CA,0,962
1965-01-01 00:00:00,girl,Deborah,1610,CA,0,1610
1965-01-01 00:00:00,girl,Debra,1153,CA,0,1153
1965-01-01 00:00:00,girl,Denise,1423,CA,0,1423
1965-01-01 00:00:00,boy,Dennis,801,CA,801,0
1965-01-01 00:00:00,girl,Diana,864,CA,0,864
1965-01-01 00:00:00,girl,Diane,947,CA,0,947
1965-01-01 00:00:00,boy,Donald,1388,CA,1388,0
1965-01-01 00:00:00,girl,Donna,1270,CA,0,1270
1965-01-01 00:00:00,boy,Douglas,972,CA,972,0
